City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Hamilton,US,2022-02-14 02:00:14,39.1834,-84.5333,21.58,78,100,1.99
1,Port Alfred,ZA,2022-02-14 01:56:36,-33.5906,26.891,68.83,90,58,15.21
2,Manokwari,ID,2022-02-14 02:00:18,-0.8667,134.0833,82.04,70,100,5.17
3,Murakami,JP,2022-02-14 02:00:19,38.2333,139.4833,37.72,64,61,3.78
4,Talnakh,RU,2022-02-14 02:00:19,69.4865,88.3972,-8.05,70,10,8.79
5,Hermanus,ZA,2022-02-14 01:56:52,-34.4187,19.2345,67.89,79,80,17.87
6,Deputatskiy,RU,2022-02-14 02:00:20,69.3,139.9,-11.51,95,98,4.79
7,Wewak,PG,2022-02-14 02:00:20,-3.5534,143.6268,83.16,75,97,2.66
8,Huilong,CN,2022-02-14 02:00:22,31.8111,121.655,45.99,58,0,10.09
9,Avera,US,2022-02-14 01:57:04,33.194,-82.5271,46.71,34,0,15.39
10,Mataura,NZ,2022-02-14 02:00:23,-46.1927,168.8643,65.48,35,100,2.75
11,Tessalit,ML,2022-02-14 02:00:24,20.1986,1.0114,60.03,23,60,10.8
12,Terra Rica,BR,2022-02-14 02:00:26,-22.7094,-52.6169,74.89,77,57,1.95
13,Ushuaia,AR,2022-02-14 01:56:46,-54.8,-68.3,38.86,75,40,34.52
14,Pisco,PE,2022-02-14 02:00:07,-13.7,-76.2167,67.01,88,17,2.1
15,Longyearbyen,SJ,2022-02-14 02:00:27,78.2186,15.6401,15.64,92,75,0.0
16,Chokurdakh,RU,2022-02-14 02:00:28,70.6333,147.9167,-14.03,97,83,8.32
17,Bud,US,2022-02-14 02:00:29,39.447,-86.1758,21.29,81,74,10.25
18,Butaritari,KI,2022-02-14 01:57:07,3.0707,172.7902,81.12,77,32,12.28
19,Chuy,UY,2022-02-14 02:00:30,-33.6971,-53.4616,58.44,67,5,7.31
20,Iqaluit,CA,2022-02-14 02:00:31,63.7506,-68.5145,-15.07,70,100,4.61
21,Souillac,MU,2022-02-14 02:00:31,-20.5167,57.5167,80.37,90,98,13.2
22,Esperance,AU,2022-02-14 02:00:32,-33.8667,121.9,70.03,59,65,11.14
23,Rikitea,PF,2022-02-14 01:56:35,-23.1203,-134.9692,79.0,70,3,14.58
24,Bhadrachalam,IN,2022-02-14 02:00:33,17.6667,80.8833,65.43,81,13,2.64
25,Hayesville,US,2022-02-14 02:00:33,44.986,-122.9829,59.25,61,97,1.99
26,Villiers,ZA,2022-02-14 02:00:34,-27.0303,28.6006,57.2,79,64,7.74
27,Korla,CN,2022-02-14 02:00:34,41.7597,86.1469,27.27,52,9,3.89
28,Kyshtovka,RU,2022-02-14 02:00:35,56.555,76.6271,7.21,96,100,6.13
29,Margate,GB,2022-02-14 02:00:36,51.3813,1.3862,49.71,86,100,8.99
30,Nepa Nagar,IN,2022-02-14 02:00:38,21.4667,76.4,64.44,34,2,1.72
31,Hilo,US,2022-02-14 01:56:33,19.7297,-155.09,74.12,80,42,3.0
32,Marawi,PH,2022-02-14 02:00:40,7.9986,124.2928,72.64,56,99,2.77
33,Atuona,PF,2022-02-14 01:57:41,-9.8,-139.0333,77.61,79,17,13.56
34,Beihai,CN,2022-02-14 02:00:27,21.4833,109.1,56.1,71,20,15.68
35,Santiago Del Estero,AR,2022-02-14 01:59:53,-27.7951,-64.2615,70.36,37,5,7.25
36,Hovd,MN,2022-02-14 02:00:40,48.0056,91.6419,-12.48,79,66,0.51
37,Busselton,AU,2022-02-14 02:00:44,-33.65,115.3333,81.05,46,0,9.48
38,Victoria,HK,2022-02-14 01:59:22,22.2855,114.1577,61.95,76,48,5.99
39,Punta Arenas,CL,2022-02-14 02:00:45,-53.15,-70.9167,44.11,48,17,16.02
40,Tasiilaq,GL,2022-02-14 02:00:45,65.6145,-37.6368,21.36,91,100,20.71
41,Bondoukou,CI,2022-02-14 02:00:45,8.0333,-2.8,73.29,76,1,4.56
42,Dhule,IN,2022-02-14 02:00:46,20.9,74.7833,68.41,42,0,2.59
43,Sao Filipe,CV,2022-02-14 02:00:47,14.8961,-24.4956,73.36,68,84,10.76
44,Avarua,CK,2022-02-14 02:00:47,-21.2078,-159.775,75.25,94,40,6.91
45,Ollioules,FR,2022-02-14 02:00:49,43.1352,5.848,51.31,87,100,5.99
46,Athabasca,CA,2022-02-14 02:00:48,54.7169,-113.2854,15.31,89,100,6.24
47,Vaini,TO,2022-02-14 02:00:50,-21.2,-175.2,80.42,71,85,15.95
48,Lincoln,US,2022-02-14 02:00:18,40.8,-96.667,31.28,49,62,7.0
49,Lasa,IT,2022-02-14 02:00:50,46.6166,10.7002,25.02,69,3,1.7
50,Hualmay,PE,2022-02-14 02:00:51,-11.0964,-77.6139,71.38,80,100,9.6
51,East London,ZA,2022-02-14 02:00:34,-33.0153,27.9116,71.31,81,20,9.95
52,Aklavik,CA,2022-02-14 02:00:51,68.2191,-135.0107,-24.88,98,100,10.74
53,Aksu,CN,2022-02-14 02:00:52,41.1231,80.2644,27.12,42,98,3.69
54,New Norfolk,AU,2022-02-14 01:57:26,-42.7826,147.0587,66.9,59,96,1.99
55,Kodiak,US,2022-02-14 02:00:54,57.79,-152.4072,35.74,80,14,0.96
56,Saskylakh,RU,2022-02-14 02:00:54,71.9167,114.0833,-17.45,93,20,3.02
57,Castelo,BR,2022-02-14 02:00:55,-20.6036,-41.1847,71.17,96,25,4.25
58,Port Blair,IN,2022-02-14 02:00:56,11.6667,92.75,71.64,88,20,2.3
59,Yaan,NG,2022-02-14 02:00:57,7.3833,8.5667,78.73,14,97,3.83
60,Cidreira,BR,2022-02-14 02:00:58,-30.1811,-50.2056,68.77,88,24,2.75
61,Lalmohan,BD,2022-02-14 02:00:59,22.3384,90.7419,64.89,65,6,11.48
62,Bredasdorp,ZA,2022-02-14 02:00:59,-34.5322,20.0403,64.27,72,99,14.61
63,Kyra,RU,2022-02-14 02:01:00,49.5776,111.9753,-12.73,91,23,1.54
64,Yulara,AU,2022-02-14 02:01:01,-25.2406,130.9889,92.57,10,2,12.77
65,Airai,TL,2022-02-14 01:58:35,-8.9266,125.4092,72.54,59,23,2.44
66,Ribeira Grande,PT,2022-02-14 02:01:02,38.5167,-28.7,58.08,69,100,3.51
67,Yabrud,SY,2022-02-14 02:01:02,33.9674,36.6574,29.86,57,0,3.24
68,Rawson,AR,2022-02-14 02:01:03,-43.3002,-65.1023,73.94,40,4,3.65
69,Cape Town,ZA,2022-02-14 01:57:03,-33.9258,18.4232,68.41,79,20,23.02
70,Plettenberg Bay,ZA,2022-02-14 01:57:58,-34.0527,23.3716,67.05,92,100,9.28
71,Sao Joao Da Barra,BR,2022-02-14 01:59:41,-21.6403,-41.0511,77.09,88,31,13.42
72,Albany,US,2022-02-14 01:57:05,42.6001,-73.9662,22.17,57,29,1.01
73,Torbay,CA,2022-02-14 02:01:06,47.6666,-52.7314,32.76,83,100,11.5
74,Barrow,US,2022-02-14 01:58:24,71.2906,-156.7887,-24.57,100,100,8.41
75,Upernavik,GL,2022-02-14 02:01:07,72.7868,-56.1549,-3.35,96,100,4.47
76,Conceicao Da Barra,BR,2022-02-14 02:01:07,-18.5933,-39.7322,76.71,84,17,7.76
77,Mogadishu,SO,2022-02-14 02:01:08,2.0371,45.3438,76.59,81,95,18.05
78,Jamestown,US,2022-02-14 01:57:09,42.097,-79.2353,14.52,98,98,3.09
79,Faanui,PF,2022-02-14 01:56:42,-16.4833,-151.75,80.38,75,100,13.85
80,Puerto Ayora,EC,2022-02-14 02:01:10,-0.7393,-90.3518,75.54,93,95,3.47
81,Vanimo,PG,2022-02-14 02:01:11,-2.6741,141.3028,82.18,80,100,1.3
82,Katsuura,JP,2022-02-14 01:59:28,35.1333,140.3,46.11,68,99,23.6
83,Solnechnyy,RU,2022-02-14 02:01:11,50.7214,136.6319,13.62,86,100,6.02
84,Bluff,NZ,2022-02-14 02:01:13,-46.6,168.3333,65.8,63,100,1.57
85,Hithadhoo,MV,2022-02-14 02:01:13,-0.6,73.0833,82.09,74,52,12.8
86,Izhma,RU,2022-02-14 02:01:14,65.0083,53.9113,1.6,98,100,5.97
87,Lebu,CL,2022-02-14 02:01:14,-37.6167,-73.65,57.61,91,98,5.28
88,Sangar,RU,2022-02-14 02:01:15,63.9242,127.4739,-27.74,95,87,2.26
89,Udachnyy,RU,2022-02-14 02:01:16,66.4167,112.4,-20.24,86,9,1.23
90,Bambous Virieux,MU,2022-02-14 02:01:17,-20.3428,57.7575,80.22,88,100,14.79
91,Salinopolis,BR,2022-02-14 02:01:18,-0.6136,-47.3561,77.85,89,100,10.18
92,Hami,CN,2022-02-14 02:01:19,42.8,93.45,25.14,44,12,6.55
93,Bira,RU,2022-02-14 02:01:20,49.0,132.4667,14.85,88,100,3.18
94,La Ronge,CA,2022-02-14 01:57:15,55.1001,-105.2842,14.25,79,100,8.05
95,Yarmouth,US,2022-02-14 02:01:21,41.7057,-70.2286,34.0,93,100,10.36
96,Opuwo,NA,2022-02-14 02:01:21,-18.0607,13.84,67.95,87,100,0.38
97,Bonfim,BR,2022-02-14 02:01:22,3.0833,-59.95,80.06,67,26,10.31
98,Hay River,CA,2022-02-14 02:01:22,60.8156,-115.7999,-17.21,99,91,3.87
99,Bundaberg,AU,2022-02-14 02:01:23,-24.85,152.35,77.76,76,36,17.22
100,Ankara,TR,2022-02-14 02:01:20,39.9199,32.8543,29.32,83,100,0.49
101,Kolpashevo,RU,2022-02-14 02:01:24,58.3131,82.9089,7.03,94,100,11.52
102,Obo,CF,2022-02-14 02:01:26,5.3998,26.4869,71.89,23,15,3.91
103,Pangai,TO,2022-02-14 02:01:28,-19.8,-174.35,81.39,77,85,17.18
104,Mykhaylivka,UA,2022-02-14 02:01:28,47.2724,35.2224,30.2,65,0,5.88
105,Havre-Saint-Pierre,CA,2022-02-14 01:58:22,50.2334,-63.5986,3.2,71,0,11.5
106,Kirakira,SB,2022-02-14 02:01:29,-10.4544,161.9205,80.04,84,100,4.09
107,Yellowknife,CA,2022-02-14 01:58:40,62.456,-114.3525,-17.45,86,40,4.61
108,Linxia,CN,2022-02-14 02:01:31,35.6003,103.2064,19.9,78,86,1.1
109,Bathsheba,BB,2022-02-14 02:01:32,13.2167,-59.5167,76.5,74,8,17.96
110,Carlyle,US,2022-02-14 02:00:49,38.6103,-89.3726,21.6,75,4,7.87
111,Georgetown,MY,2022-02-14 02:01:34,5.4112,100.3354,84.13,79,20,3.44
112,Hokitika,NZ,2022-02-14 02:01:35,-42.7167,170.9667,63.61,50,0,7.67
113,Arraial Do Cabo,BR,2022-02-14 02:01:35,-22.9661,-42.0278,75.43,92,16,15.43
114,Alofi,NU,2022-02-14 02:01:36,-19.0595,-169.9187,81.01,73,98,11.88
115,Padang,ID,2022-02-14 02:01:36,-0.9492,100.3543,80.65,62,63,0.74
116,Ambanja,MG,2022-02-14 02:01:37,-13.6833,48.45,72.39,93,3,3.42
117,Kaka,TM,2022-02-14 02:01:38,37.3482,59.6143,43.41,69,100,12.08
118,Mitsamiouli,KM,2022-02-14 02:01:39,-11.3847,43.2844,80.69,79,13,1.59
119,Omsukchan,RU,2022-02-14 01:59:48,62.5333,155.8,-15.56,95,52,5.1
120,Dunedin,NZ,2022-02-14 02:01:41,-45.8742,170.5036,61.81,62,72,13.0
121,Qaanaaq,GL,2022-02-14 02:01:42,77.484,-69.3632,-8.28,70,76,6.76
122,Alyangula,AU,2022-02-14 02:01:42,-13.8483,136.4192,87.26,61,5,14.99
123,Gudermes,RU,2022-02-14 02:01:13,43.3569,46.1053,26.04,77,12,4.21
124,Port Hedland,AU,2022-02-14 01:58:07,-20.3167,118.5667,95.05,43,21,19.57
125,Touros,BR,2022-02-14 02:01:44,-5.1989,-35.4608,80.46,75,5,13.02
126,Saint-Philippe,RE,2022-02-14 01:57:21,-21.3585,55.7679,78.39,87,38,11.43
127,Luderitz,NA,2022-02-14 01:57:00,-26.6481,15.1594,71.06,67,1,9.8
128,Constitucion,CL,2022-02-14 02:01:46,-35.3333,-72.4167,58.86,90,64,2.93
129,Mar Del Plata,AR,2022-02-14 02:01:47,-38.0023,-57.5575,64.87,73,0,1.01
130,Bengkulu,ID,2022-02-14 02:01:49,-3.8004,102.2655,81.36,71,99,2.77
131,Cabo San Lucas,MX,2022-02-14 02:00:24,22.8909,-109.9124,71.19,58,79,6.2
132,Ponta Do Sol,PT,2022-02-14 02:01:50,32.6667,-17.1,61.72,71,88,1.3
133,Safidon,IN,2022-02-14 02:01:51,29.4167,76.6667,50.11,73,0,3.38
134,Huarmey,PE,2022-02-14 02:01:54,-10.0681,-78.1522,72.77,78,86,7.63
135,Nipawin,CA,2022-02-14 02:01:54,53.3668,-104.0009,3.34,94,97,6.4
136,Shirokiy,RU,2022-02-14 02:01:56,49.758,129.523,7.36,90,100,2.1
137,Bluefield,US,2022-02-14 02:01:56,37.2698,-81.2223,26.65,72,75,4.61
138,Richards Bay,ZA,2022-02-14 02:01:57,-28.783,32.0377,76.5,89,100,8.95
139,Matagami,CA,2022-02-14 02:01:58,49.7502,-77.6328,-19.5,99,88,2.46
140,Cortez,US,2022-02-14 02:01:58,37.3489,-108.5859,45.52,34,0,3.44
141,Havelock,US,2022-02-14 02:01:58,34.8791,-76.9013,45.05,81,100,4.0
142,Gusau,NG,2022-02-14 02:02:00,12.1628,6.6614,69.71,14,14,9.66
143,Tautira,PF,2022-02-14 01:57:07,-17.7333,-149.15,87.82,77,75,17.47
144,Komsomolskiy,UZ,2022-02-14 01:57:40,40.4272,71.7189,36.32,87,100,2.3
145,Ewa Beach,US,2022-02-14 02:02:02,21.3156,-158.0072,79.99,48,8,11.01
146,Plouzane,FR,2022-02-14 02:02:02,48.3833,-4.6167,46.45,84,20,11.5
147,Hobart,AU,2022-02-14 02:00:08,-42.8794,147.3294,69.03,66,75,12.66
148,Saldanha,ZA,2022-02-14 01:58:38,-33.0117,17.9442,64.45,90,0,14.07
