City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Busselton,AU,-33.65,115.3333,81.05,46,0,9.48,clear sky
1,Broome,US,42.2506,-75.833,16.02,76,0,8.05,clear sky
2,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,70.09,38,0,1.43,clear sky
3,Beira,MZ,-19.8436,34.8389,75.81,85,16,3.4,few clouds
4,Punta Arenas,CL,-53.15,-70.9167,44.71,49,20,8.05,few clouds
5,Avarua,CK,-21.2078,-159.775,75.25,88,20,4.61,light rain
6,Ribeira Grande,PT,38.5167,-28.7,58.08,69,100,3.51,overcast clouds
7,Lensk,RU,60.7253,114.9278,-14.46,95,96,1.28,overcast clouds
8,Lavrentiya,RU,65.5833,-171.0,-18.63,93,13,2.21,few clouds
9,Jamestown,US,42.097,-79.2353,15.12,67,100,5.75,overcast clouds
10,Port Lincoln,AU,-34.7333,135.8667,71.87,69,15,11.99,few clouds
11,Luchegorsk,RU,46.4764,134.2569,8.92,89,97,1.03,overcast clouds
12,Kapaa,US,22.0752,-159.319,78.78,64,0,17.27,clear sky
13,Yellowknife,CA,62.456,-114.3525,-19.59,89,40,5.75,scattered clouds
14,Atuona,PF,-9.8,-139.0333,77.61,79,17,13.56,light rain
15,Kandrian,PG,-6.2167,149.55,84.13,74,92,2.64,light rain
16,Zhigansk,RU,66.7697,123.3711,-32.57,98,56,1.77,broken clouds
17,Acapulco,MX,16.8634,-99.8901,80.42,78,75,8.05,broken clouds
18,Ushuaia,AR,-54.8,-68.3,38.86,75,40,18.41,scattered clouds
19,Rikitea,PF,-23.1203,-134.9692,79.0,70,3,14.58,clear sky
20,Cidreira,BR,-30.1811,-50.2056,68.77,88,24,2.75,few clouds
21,Hithadhoo,MV,-0.6,73.0833,82.09,74,52,12.8,moderate rain
22,Faanui,PF,-16.4833,-151.75,80.38,75,100,13.85,light rain
23,Esperance,AU,-33.8667,121.9,70.03,59,65,11.14,light rain
24,Souillac,MU,-20.5167,57.5167,80.98,89,40,6.91,light rain
25,Port Elizabeth,ZA,-33.918,25.5701,66.49,94,100,8.05,overcast clouds
26,Andenes,NO,69.3143,16.1194,31.98,64,100,12.66,snow
27,Victoria,HK,22.2855,114.1577,61.97,73,48,4.0,scattered clouds
28,Kysyl-Syr,RU,63.8986,122.7617,-19.79,99,100,0.51,overcast clouds
29,Tuktoyaktuk,CA,69.4541,-133.0374,-31.0,75,75,9.22,broken clouds
30,Qaanaaq,GL,77.484,-69.3632,-8.28,70,76,6.76,broken clouds
31,Albany,US,42.6001,-73.9662,22.17,58,29,1.01,scattered clouds
32,Carnarvon,AU,-24.8667,113.6333,86.07,74,5,11.5,clear sky
33,Puerto Ayora,EC,-0.7393,-90.3518,75.54,93,95,3.47,overcast clouds
34,Georgetown,MY,5.4112,100.3354,84.13,77,20,5.75,few clouds
35,Ekhabi,RU,53.5102,142.9671,-3.42,91,14,13.56,few clouds
36,Mogadishu,SO,2.0371,45.3438,76.59,81,95,18.05,overcast clouds
37,Zaraza,VE,9.3503,-65.3245,75.63,71,34,9.15,scattered clouds
38,Sibolga,ID,1.7427,98.7792,81.09,76,47,1.28,scattered clouds
39,Thompson,CA,55.7435,-97.8558,-20.04,76,0,0.0,clear sky
40,Sitrah,BH,26.1547,50.6206,62.6,66,0,9.22,clear sky
41,Hilo,US,19.7297,-155.09,78.53,72,20,8.05,few clouds
42,Pacifica,US,37.6138,-122.4869,70.74,69,75,11.5,broken clouds
43,Kodiak,US,57.79,-152.4072,38.71,65,0,0.0,clear sky
44,Vila,PT,42.0304,-8.1588,42.33,93,92,6.51,overcast clouds
45,Ust-Maya,RU,60.4167,134.5333,-17.18,93,97,2.19,overcast clouds
46,Hermanus,ZA,-34.4187,19.2345,67.89,79,80,17.87,broken clouds
47,Darhan,MN,49.4867,105.9228,-9.4,96,100,2.84,overcast clouds
48,Jvari,GE,42.7169,42.052,35.85,61,100,9.15,overcast clouds
49,Bluff,NZ,-46.6,168.3333,66.79,63,100,1.57,overcast clouds
50,Vestmannaeyjar,IS,63.4427,-20.2734,34.72,75,100,31.29,overcast clouds
51,Kokubu,JP,31.7333,130.7667,53.65,93,75,3.44,fog
52,Castro,BR,-24.7911,-50.0119,65.43,89,97,2.48,overcast clouds
53,Padang,ID,-0.9492,100.3543,80.65,62,63,0.74,broken clouds
54,Kukmor,RU,56.1855,50.8944,-3.5,100,100,2.89,overcast clouds
55,Melfort,CA,52.8667,-104.6177,3.96,85,92,5.75,overcast clouds
56,Nome,US,64.5011,-165.4064,-2.13,60,0,0.0,clear sky
57,Sitka,US,57.0531,-135.33,42.69,81,100,4.61,overcast clouds
58,Santa Rosa De Cabal,CO,4.8681,-75.6214,63.64,88,40,4.61,scattered clouds
59,East London,ZA,-33.0153,27.9116,71.31,81,20,9.95,few clouds
60,Butaritari,KI,3.0707,172.7902,81.12,77,32,12.28,light rain
61,Iqaluit,CA,63.7506,-68.5145,-16.31,62,100,4.61,light snow
62,Sola,VU,-13.8833,167.55,82.76,76,95,18.14,overcast clouds
63,Khatanga,RU,71.9667,102.5,-27.56,100,52,2.33,broken clouds
64,Bako,ET,5.7833,36.5667,66.72,42,93,3.76,overcast clouds
65,Ponta Do Sol,PT,32.6667,-17.1,61.72,71,88,1.3,overcast clouds
66,Saint-Philippe,RE,-21.3585,55.7679,78.39,87,38,11.43,scattered clouds
67,Jose De Freitas,BR,-4.7564,-42.5756,72.55,94,99,0.83,moderate rain
68,Tinskoy,RU,56.1525,96.9161,-14.69,95,6,5.55,clear sky
69,Buenos Aires,AR,-34.6132,-58.3772,73.13,47,0,3.44,clear sky
70,Guntakal,IN,15.1667,77.3833,67.06,72,5,6.89,clear sky
71,Alofi,NU,-19.0595,-169.9187,81.01,73,98,11.88,light rain
72,Barrow,US,71.2906,-156.7887,-27.38,68,75,8.05,broken clouds
73,Reading,GB,51.4562,-0.9711,47.55,79,75,8.05,broken clouds
74,Mabaruma,GY,8.2,-59.7833,70.74,95,98,3.15,overcast clouds
75,Torbay,CA,47.6666,-52.7314,32.76,85,100,10.36,overcast clouds
76,Cape Town,ZA,-33.9258,18.4232,68.41,80,20,19.57,few clouds
77,Podyuga,RU,61.095,40.8647,27.73,95,100,9.55,light snow
78,San Quintin,MX,30.4833,-115.95,66.81,39,0,8.43,clear sky
79,Kaduqli,SD,11.0167,29.7167,71.33,17,6,14.41,clear sky
