City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Rio Verde De Mato Grosso,BR,2022-02-11 02:54:07,-18.9181,-54.8442,70.59,95,94,5.12
1,Jamestown,US,2022-02-11 02:52:07,42.097,-79.2353,31.01,68,100,6.91
2,Hermanus,ZA,2022-02-11 02:54:08,-34.4187,19.2345,60.91,79,0,2.66
3,Mwene-Ditu,CD,2022-02-11 02:54:09,-7.0,23.45,65.64,97,100,4.27
4,Boa Vista,BR,2022-02-11 02:54:09,2.8197,-60.6733,84.18,58,20,10.36
5,Aykhal,RU,2022-02-11 02:54:09,66.0,111.5,-3.59,97,97,5.77
6,Sabha,LY,2022-02-11 02:54:10,27.0377,14.4283,45.84,53,0,9.73
7,Rikitea,PF,2022-02-11 02:54:10,-23.1203,-134.9692,79.25,73,34,14.83
8,Richards Bay,ZA,2022-02-11 02:54:10,-28.783,32.0377,69.87,89,25,5.48
9,Butaritari,KI,2022-02-11 02:54:11,3.0707,172.7902,82.26,79,16,18.37
10,Clyde River,CA,2022-02-11 02:54:11,70.4692,-68.5914,-19.97,69,100,14.97
11,East London,ZA,2022-02-11 02:54:11,-33.0153,27.9116,69.69,83,52,3.74
12,Ketchikan,US,2022-02-11 02:54:11,55.3422,-131.6461,39.18,83,100,2.86
13,Tutoia,BR,2022-02-11 02:54:12,-2.7619,-42.2744,80.58,86,96,7.07
14,New Norfolk,AU,2022-02-11 02:54:12,-42.7826,147.0587,68.76,38,11,1.99
15,Port Blair,IN,2022-02-11 02:54:12,11.6667,92.75,80.64,83,40,8.05
16,Bismarck,US,2022-02-11 02:53:42,46.8083,-100.7837,40.87,78,100,20.71
17,Port Elizabeth,ZA,2022-02-11 02:54:13,-33.918,25.5701,61.09,82,0,4.61
18,Pitimbu,BR,2022-02-11 02:54:13,-7.4706,-34.8086,81.19,76,57,7.94
19,Busselton,AU,2022-02-11 02:54:13,-33.65,115.3333,84.81,42,0,9.93
20,Laguna,US,2022-02-11 02:54:14,38.421,-121.4238,66.02,69,0,2.44
21,Waipawa,NZ,2022-02-11 02:54:14,-41.4122,175.5153,68.45,79,100,6.4
22,Port Moresby,PG,2022-02-11 02:50:33,-9.4431,147.1797,87.22,55,20,11.5
23,Gambela,ET,2022-02-11 02:54:14,8.25,34.5833,77.11,39,82,2.8
24,Atuona,PF,2022-02-11 02:54:15,-9.8,-139.0333,78.51,72,11,16.91
25,Pochutla,MX,2022-02-11 02:54:15,15.7432,-96.4661,77.83,78,2,2.77
26,Awbari,LY,2022-02-11 02:54:15,26.5921,12.7805,45.09,56,0,7.07
27,Kaitangata,NZ,2022-02-11 02:54:16,-46.2817,169.8464,63.81,71,18,7.78
28,Hilo,US,2022-02-11 02:54:16,19.7297,-155.09,75.25,89,8,4.0
29,Lorengau,PG,2022-02-11 02:54:16,-2.0226,147.2712,83.03,78,100,7.2
30,Qaanaaq,GL,2022-02-11 02:54:17,77.484,-69.3632,-22.36,62,93,4.81
31,Cherskiy,RU,2022-02-11 02:54:17,68.75,161.3,-29.81,97,100,5.57
32,Rondonopolis,BR,2022-02-11 02:54:17,-16.4708,-54.6356,70.0,98,100,3.33
33,Cumpas,MX,2022-02-11 02:54:18,29.9833,-109.7833,60.67,17,1,8.99
34,Mataura,NZ,2022-02-11 02:54:18,-46.1927,168.8643,63.48,52,34,7.14
35,Sitka,US,2022-02-11 02:54:18,57.0531,-135.33,28.13,79,91,3.98
36,Punta Arenas,CL,2022-02-11 02:54:19,-53.15,-70.9167,44.71,57,75,5.75
37,Arraias,BR,2022-02-11 02:54:19,-12.9288,-46.9437,67.6,95,100,3.09
38,Kavieng,PG,2022-02-11 02:54:19,-2.5744,150.7967,83.64,71,93,6.06
39,Bilibino,RU,2022-02-11 02:54:19,68.0546,166.4372,-33.43,97,64,1.41
40,Severo-Kurilsk,RU,2022-02-11 02:53:58,50.6789,156.125,28.9,72,90,4.27
41,Vardo,NO,2022-02-11 02:54:20,70.3705,31.1107,21.4,82,89,12.55
42,Provideniya,RU,2022-02-11 02:54:20,64.3833,-173.3,-9.29,64,0,11.18
